"","StackID","sampleNUM","symClade","symTreat","hostStage","timepoint","confocal","Edu","size","offscreen","sym.count","damage","stage","filter","notes","sym.size","Edu.size","Edu.size.simple","Edu.size.quantnorm","Edu.simple","Edu.quantnorm","sym.count.log","Edu.size.sqrt"
"35","13C",13,"B","25","larv","3","old",42246.975,395143.213,"yes",346,"","larv","","",0.000875631893998898,0.106915603280272,0.0945032615053817,0.081778115522602,36618.2268800162,33481.256932524,2.53907609879278,0.326979515077431
"36","13D",13,"B","25","larv","3","new",22338.39,363944.931,"no",NA,"","larv","","",NA,0.0613784891538989,0.0737908309287892,0.0849744827877212,27967.1381199838,29256.9070064935,NA,0.247746824710023
"37","13F",13,"B","25","larv","3","new",18860.98,349889.359,"no",113,"","larv","","",0.000322959235808026,0.0539055547556678,0.066317896530558,0.0750744021164783,24489.7281199838,26030.1117004662,2.05307844348342,0.232175698029892
"38","13G",13,"B","25","larv","3","new",NA,370683.505,"no",38,"","larv","","",0.000102513328722302,NA,NA,NA,NA,NA,1.57978359661681,NA
"39","13H",13,"B","25","larv","3","new",NA,348938.058,"no",NA,"","larv","","",NA,NA,NA,NA,NA,NA,NA,NA
"40","14A",14,"B","25","larv","3","old",59309.552,413771.99,"yes",48,"","larv","","",0.000116005919105351,0.143338731072637,0.130926389297747,0.122832008803251,53680.8038800162,46211.5503732355,1.68124123737559,0.378601018319599
"41","14B",14,"B","25","larv","3","old",72093.388,392330.698,"no?",15,"","larv","","",3.82330520565077e-05,0.183756683755601,0.17134434198071,0.154526690460102,66464.6398800162,67185.6875403727,1.17609125905568,0.428668501007014
"42","14C",14,"B","25","larv","3","old",36126.313,339274.116,"no",44,"","larv","","",0.000129688643857523,0.106481194103237,0.0940688523283464,0.0807413153242925,30497.5648800162,28932.407215415,1.64345267648619,0.326314563118529
"43","14D",14,"B","25","larv","3","new",33518.78,520471.942,"no",48,"","larv","","",9.22239915864667e-05,0.0644007434314298,0.07681308520632,0.0886336919017787,39147.5281199838,46965.7426666667,1.68124123737559,0.253773015569878
"44","14E",14,"B","25","larv","3","new",22039.46,395755.316,"no",94,"","larv","","",0.000237520498650737,0.0556896120126912,0.0681019537875814,0.0811340132095035,27668.2081199838,29051.0561981352,1.9731278535997,0.235986465740498
"45","14F",14,"B","25","larv","3","new",13607.81,418777.323,"no",80,"","larv","","",0.000191032311460666,0.0324941424777196,0.0449064842526098,0.033531114548779,19236.5581199838,17049.9750522811,1.90308998699194,0.180261317197339
"46","14H",14,"B","25","larv","3","new",32331.25,445898.195,"no",87,"","larv","","",0.000195111801248713,0.0725081428060053,0.0849204845808955,0.0939937539689367,37959.9981199838,44931.8740562771,1.93951925261862,0.269273360743326
"47","14I",14,"B","25","larv","3","new",25060.1,460699.525,"no",21,"","larv","","",4.55828557669991e-05,0.0543957582765035,0.0668081000513938,0.0800902953177194,30688.8481199838,33865.9075582751,1.32221929473392,0.233228982496823
"48","14J",14,"B","25","larv","3","new",35073.88,600561.098,"no",56,"Y","larv","","damage but may be usable",9.32461329688058e-05,0.0584018513966417,0.070814193171532,0.0829785065679279,40702.6281199838,49002.829543956,1.7481880270062,0.24166475000844
"49","17A",17,"B","32","larv","3","old",20304.55,434260.612,"yes",8,"","larv","","",1.84221174542074e-05,0.0467566006193534,0.0343442588444632,0.04195286890842,14675.8018800162,16803.7632298137,0.903089986991944,0.216232746408479
"50","17B",17,"B","32","larv","3","old",13491.1,440652.19,"yes",29,"","larv","","",6.581154175133e-05,0.0306162100317713,0.0182038682568811,0.0314363670151536,7862.35188001616,12826.4571157538,1.46239799789896,0.174974884002737
"51","17D",17,"B","32","larv","3","new",NA,294743.687,"no",26,"","larv","","",8.82122370953445e-05,NA,NA,NA,NA,NA,1.41497334797082,NA
"52","17E",17,"B","32","larv","3","new",NA,302704.818,"no",NA,"","larv","","",NA,NA,NA,NA,NA,NA,NA,NA
"53","17F",17,"B","32","larv","3","new",NA,389310.671,"no",109,"","larv","","",0.000279982050633285,NA,NA,NA,NA,NA,2.03742649794062,NA
"54","17G",17,"B","32","larv","3","new",NA,365480.002,"no",68,"","larv","","",0.000186056691550527,NA,NA,NA,NA,NA,1.83250891270624,NA
"55","18D",18,"B","32","larv","3","new",28935.48,468563.476,"no",50,"","larv","","",0.000106709128135288,0.0617535968595213,0.0741659386344116,0.0869243098349245,34564.2281199838,35872.5304134199,1.69897000433602,0.24850270996414
"56","18E",18,"B","32","larv","3","new",24146.13,569205.311,"no",13,"","larv","","",2.28388592811285e-05,0.0424207742502951,0.0548331160251853,0.0571497158229165,29774.8781199838,31901.4222422577,1.11394335230684,0.205963040981374
"57","18F",18,"B","32","larv","3","new",19926.44,500907.647,"no",11,"","larv","","",2.19601358970669e-05,0.0397806663949772,0.0521930081698674,0.0528506712289008,25555.1881199838,27252.2214452215,1.04139268515823,0.199450912244034
"58","18G",18,"B","32","larv","3","new",29132.72,420340.155,"no",10,"","larv","","",2.37902562509166e-05,0.0693074874086203,0.0817198291835105,0.0909764873946666,34761.4681199838,36179.3762857143,1,0.263263152394368
"59","18I",18,"B","32","larv","3","new",17168.5,435916.791,"no",66,"","larv","","",0.00015140504188562,0.0393848100244434,0.0517971517993336,0.0509167668049855,22797.2481199838,23746.3099025974,1.81954393554187,0.198456065728522
"60","18J",18,"B","32","larv","3","new",20867.41,469799.199,"no",36,"","larv","","",7.66284831405172e-05,0.0444177215380906,0.0568300633129808,0.0590728240044742,26496.1581199838,28447.6917967033,1.55630250076729,0.210755122210803
"61","18K",18,"B","32","larv","3","new",30495.83,411539.938,"no",2,"","larv","","only ~2 syms",4.85979564880043e-06,0.0741017509702789,0.0865140927451691,0.0969541232449047,36124.5781199838,36762.1098286713,0.301029995663981,0.272216367932347
"62","1A",1,"apo",NA,"larv","3","old",30628.815,418502.944,"yes",0,"Y","larv","","damage but may be usable",0,0.073186617774426,0.0607742759995357,0.0581525251849858,25000.0668800162,24444.5104390175,NA,0.270530252974461
"63","1B",1,"apo",NA,"larv","3","old",61426.519,464666.106,"yes",0,"Y","larv","","damage but may be usable",0,0.132194963667094,0.119782621892204,0.110867289016367,55797.7708800162,47703.3623537549,NA,0.363586253407763
"64","1D",1,"apo",NA,"larv","3","new",NA,467676.911,"no",0,"","larv","","weird vertical position, lots of slices, ZOOMED OUT",0,NA,NA,NA,NA,NA,NA,NA
"65","1E",1,"apo",NA,"larv","3","new",NA,416638.688,"no",0,"","larv","","ZOOMED OUT",0,NA,NA,NA,NA,NA,NA,NA
"66","1F",1,"apo",NA,"larv","3","new",NA,233048.812,"no",0,"","larv","","ZOOMED OUT",0,NA,NA,NA,NA,NA,NA,NA
"67","21H",21,"C","25","larv","3","new",10497.93,318085.33,"no",1,"","larv","","",3.14381049889978e-06,0.0330035025507149,0.0454158443256052,0.0379705795327769,16126.6781199838,9766.25431135531,0,0.181668661443615
"68","25C",25,"C","32","larv","3","old",772.062,397268.455,"yes",1,"Y","larv","","very very little damage",2.51718954126373e-06,0.00194342639160716,-0.0104689153832831,0.00338634072613016,-4856.68611998384,1434.36952060983,0,0.0440843100389147
"69","27A",27,"D","25","larv","3","old",20601.656,179886.539,"no",22,"","larv","","",0.000122299312234808,0.114525834531732,0.102113492756842,0.0931381511658149,14972.9078800162,17274.6699988707,1.34242268082221,0.338416658177065
"70","27B",27,"D","25","larv","3","old",33346.199,334269.494,"no",69,"","larv","","",0.000206420272380584,0.0997584272527124,0.0873460854778222,0.0769502070670201,27717.4508800162,26172.1992346132,1.83884909073726,0.315845575008915
"71","27D",27,"D","25","larv","3","new",14944.98,303002.052,"no",36,"","larv","","",0.000118811076566571,0.0493230323073852,0.0617353740822754,0.0655294326482329,20573.7281199838,19648.8643106893,1.55630250076729,0.222087893203086
"72","27E",27,"D","25","larv","3","new",31306.6,362470.987,"no",43,"","larv","","",0.000118630184324242,0.0863699471759377,0.0987822889508279,0.108516408490169,36935.3481199838,40351.817529304,1.63346845557959,0.293887643795954
"73","27F",27,"D","25","larv","3","new",17004.22,312604.464,"no",113,"","larv","","",0.000361479163010289,0.0543953204711754,0.0668076622460656,0.0786972849147805,22632.9681199838,22981.534044289,2.05307844348342,0.233228043920913
"74","27G",27,"D","25","larv","3","new",9881.31,341683.718,"no",32,"","larv","","",9.36538626637164e-05,0.0289194640524252,0.0413318058273155,0.0233788789087366,15510.0581199838,8539.64123543123,1.50514997831991,0.170057237577309
"75","27H",27,"D","25","larv","3","new",23335.27,409543.769,"no",71,"","larv","","",0.000173363643581646,0.056978696213542,0.0693910379884322,0.0820383438172185,28964.0181199838,30759.6955427905,1.85125834871908,0.238702107685588
"76","27I",27,"D","25","larv","3","new",12919.5,384524.399,"no",37,"","larv","","",9.62227627069251e-05,0.0335986481835708,0.046010989958461,0.0395935069056052,18548.2481199838,15093.0522082917,1.56820172406699,0.18329934037953
"77","28A",28,"D","25","larv","3","old",33912.148,460236.395,"no",126,"","larv","","",0.000273772351271785,0.0736841944018791,0.0612718526269888,0.0592621574507368,28283.3998800162,26700.5944505929,2.10037054511756,0.271448327314572
"78","28C",28,"D","25","larv","3","old",43269.957,385733.006,"yes",20,"","larv","","",5.18493353923672e-05,0.112175925645315,0.0997635838704252,0.0872859528499038,37641.2088800162,36970.964257764,1.30102999566398,0.334926746685474
"79","28E",28,"D","25","larv","3","new",18060.97,319226.131,"no",29,"","larv","","may have been imaged by Jun previously but doing over",9.08446934126455e-05,0.0565773545649996,0.0689896963398898,0.0817007156378174,23689.7181199838,24303.4434618715,1.46239799789896,0.237859947374499
"80","28F",28,"D","25","larv","3","new",14145.73,365272.932,"no",12,"","larv","","may have been imaged by Jun previously but doing over",3.28521468434458e-05,0.0387264665973114,0.0511388083722016,0.0488897374654214,19774.4781199838,18294.8181118881,1.07918124604762,0.196790412869406
"81","28G",28,"D","25","larv","3","new",7780.04,384399.053,"no",109,"","larv","","may have been imaged by Jun previously but doing over",0.000283559491495417,0.0202394879469175,0.0326518297218077,0.0156833443007237,13408.7881199838,5203.64969180819,2.03742649794062,0.142265554323306
"82","28H",28,"D","25","larv","3","new",10028.78,274699.885,"no",13,"","larv","","may have been imaged by Jun previously but doing over",4.73243736523588e-05,0.0365081332305618,0.048920475005452,0.0418168862322664,15657.5281199838,8751.55405694306,1.11394335230684,0.19107101619702
"83","2A",2,"apo",NA,"larv","3","old",18306.149,412441.56,"no",0,"","larv","","",0,0.0443848311503816,0.0319724893754914,0.0386908210586018,12677.4008800162,15619.4717140034,NA,0.210677077895014
"84","2B",2,"apo",NA,"larv","3","old",49340.297,436156.302,"yes",0,"","larv","","",0,0.113125264437885,0.100712922662995,0.0908960049235063,43711.5488800162,40389.5930031056,NA,0.336340994286877
"85","2D",2,"apo",NA,"larv","3","new",20013.4,438008.896,"no",0,"","larv","","step size was set too small! 2.something",0,0.0456917660412084,0.0581041078160987,0.0624398479780156,25642.1481199838,27912.1711924742,NA,0.213756323979452
"86","2E",2,"apo",NA,"larv","3","new",15420.54,384910.002,"no",0,"","larv","","step size was set too small! 2.something",0,0.0400627157514083,0.0524750575262985,0.0548996465071509,21049.2881199838,20219.3864157509,NA,0.20015672796938
"87","2F",2,"apo",NA,"larv","3","new",11082.47,290104.852,"no",0,"","larv","","step size was set too small! 2.something",0,0.0382016016746938,0.050613943449584,0.0457093993189645,16711.2181199838,11070.960974359,NA,0.195452300254292
"88","2G",2,"apo",NA,"larv","3","new",15557.02,344154.044,"no",0,"","larv","","step size was set too small! 2.something",0,0.0452036530478776,0.0576159948227678,0.0616178213243801,21185.7681199838,20730.2538271728,NA,0.212611507327044
"89","2I",2,"apo",NA,"larv","3","new",8719.12,441749.706,"no",0,"","larv","","",0,0.0197376928192002,0.0321500345940904,0.0144106726742663,14347.8681199838,7720.31625974026,NA,0.140490899417721
"90","2J",2,"apo",NA,"larv","3","new",13411.82,407789.723,"no",0,"","larv","","",0,0.0328890583640334,0.0453014001389236,0.0356974441463725,19040.5681199838,16785.1607838828,NA,0.181353407368137
"91","31A",31,"D","32","larv","3","old",38393.556,349653.538,"no",49,"","larv","","",0.000140138722119837,0.109804568887274,0.0973922271123835,0.0856096494321435,32764.8078800162,30909.4952806324,1.69019608002851,0.331367724570867
"92","31F",31,"D","32","larv","3","new",NA,337228.822,"no",6,"","larv","","1.2x zoom",1.77920735375341e-05,NA,NA,NA,NA,NA,0.778151250383644,NA
"93","31G",31,"D","32","larv","3","new",12124.08,385271.393,"no",18,"","larv","","1.2x zoom",4.67203128159583e-05,0.0314689339003169,0.0438812756752071,0.0299843942661463,17752.8281199838,13340.2497708958,1.25527250510331,0.177394853082937
"94","31H",31,"D","32","larv","3","new",24554.85,351547.255,"no",24,"","larv","","1.2x zoom",6.82696270804333e-05,0.0698479355214991,0.0822602772963893,0.0920509560403489,30183.5981199838,32918.5209242424,1.38021124171161,0.264287600014641
"95","31I",31,"D","32","larv","3","new",NA,350428.812,"no",41,"","larv","","",0.000116999512015011,NA,NA,NA,NA,NA,1.61278385671974,NA
"96","32B",32,"D","32","larv","3","old",42716.416,453107.91,"yes",1,"","larv","","",2.20697978986948e-06,0.0942742668076574,0.0818619250327671,0.0741701052198216,37087.6678800162,35543.9265911914,0,0.307041148394897
"97","32C",32,"D","32","larv","3","old",26379.026,422043.404,"yes",23,"","larv","","",5.44967645081358e-05,0.0625031116467822,0.050090769871892,0.0513532351725817,20750.2778800162,20951.2615629588,1.36172783601759,0.250006223216108
"98","32D",32,"D","32","larv","3","new",13305.23,453110.51,"no",70,"","larv","","",0.000154487698817668,0.0293642052134257,0.041776546988316,0.0250225447458391,18933.9781199838,16172.4291328671,1.84509804001426,0.171359870487304
"99","32E",32,"D","32","larv","3","new",15622.74,393114.348,"no",12,"","larv","","",3.05254693985374e-05,0.0397409559826089,0.0521532977574991,0.0512316005562579,21251.4881199838,21056.0346610057,1.07918124604762,0.199351338050711
"100","32F",32,"D","32","larv","3","new",15363.15,478272.605,"no",1,"","larv","","",2.09085778601097e-06,0.0321221617951545,0.0445345035700447,0.0315143403911263,20991.8981199838,20014.2765384615,0,0.179226565539695
"101","32G",32,"D","32","larv","3","new",35453.97,576723.38,"no",2,"","larv","","",3.4678670387873e-06,0.0614748269785768,0.073887168753467,0.0859543492688203,41082.7181199838,50178.7351448551,0.301029995663981,0.24794117644832
"102","32H",32,"D","32","larv","3","new",24030.25,447427.04,"no",20,"","larv","","",4.47000252823343e-05,0.0537076391270407,0.0661199809019309,0.0738314456515058,29658.9981199838,31407.8853717949,1.30102999566398,0.231749086572182
"103","5B",5,"A","25","larv","3","old",24542.62,315011.348,"no",20,"","larv","","maybe meta but hard to tell",6.34897762476798e-05,0.0779102726165916,0.0654979308417013,0.0615374430006558,18913.8718800162,19718.9766685488,1.30102999566398,0.279124116866658
"104","5D",5,"A","25","larv","3","new",13966.94,272088.2,"no",16,"","larv","","",5.8804461200449e-05,0.0513323988324374,0.0637447406073277,0.072392431025657,19595.6881199838,17465.3371788212,1.20411998265592,0.226566543938944
"105","5G",5,"A","25","larv","3","new",NA,380734.442,"no",52,"","larv","","",0.00013657813495108,NA,NA,NA,NA,NA,1.7160033436348,NA
"106","5I",5,"A","25","larv","3","new",NA,366740.763,"no",12,"","larv","","",3.27206605064515e-05,NA,NA,NA,NA,NA,1.07918124604762,NA
"107","69A",69,"apo",NA,"larv","9","old",26726.454,304760.833,"no",0,"","larv","","",0,0.0876964855913752,0.075284143816485,0.0694735942717359,21097.7058800162,21393.6073636364,NA,0.296135924182419
"108","69B",69,"apo",NA,"larv","9","old",35867.81,384718.984,"no",0,"","larv","","",0,0.093231193394917,0.0808188516200268,0.0721368697501355,30239.0618800162,27967.1945093168,NA,0.305337834856601
"109","69C",69,"apo",NA,"larv","9","old",43087.971,359569.033,"no",0,"","larv","","",0,0.119832263197148,0.107419921422258,0.0987675521027737,37459.2228800162,36160.5451335404,NA,0.346167969629121
