Glycan Types,Glycan family,Glycan,Hex-Nac,Hex,Fuc,NeuAc,NeuGc,Breviolum minitum_25C_1,Breviolum minitum_25C_2,Breviolum minitum_25C_3,Breviolum minitum_32C_1,Breviolum minitum_32C_2,Breviolum minitum_32C_3,Durusdinium trenchii_25C_1,Durusdinium trenchii_25C_2,Durusdinium trenchii_25C_3,Durusdinium trenchii_32C_1,Durusdinium trenchii_32C_2,Durusdinium trenchii_32C_3,Symbiodinium microadriaticum_25C_1,Symbiodinium microadriaticum_25C_2,Symbiodinium microadriaticum_25C_3,Symbiodinium microadriaticum_32C_1,Symbiodinium microadriaticum_32C_2,Symbiodinium microadriaticum_32C_3,Cladocopium goreaui_25C_1,Cladocopium goreaui_25C_2,Cladocopium goreaui_25C_3,Cladocopium goreaui_32C_1,Cladocopium goreaui_32C_2
Sialylated,C,7-6-0-1-0,7,6,0,1,0,0.00E+00,1.91E+05,7.41E+06,0.00E+00,1.19E+07,4.78E+06,0.00E+00,3.99E+05,1.99E+06,0.00E+00,0.00E+00,3.07E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.61E+05,7.71E+04,1.69E+05,3.39E+04,0.00E+00,4.57E+05,1.71E+05
Sialylated,C,7-8-0-1-0,7,8,0,1,0,0.00E+00,1.20E+05,5.45E+06,0.00E+00,1.34E+06,6.84E+06,0.00E+00,0.00E+00,6.94E+05,0.00E+00,8.04E+04,0.00E+00,0.00E+00,1.19E+05,5.83E+04,0.00E+00,4.67E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.11E+05,7.01E+05
Sialylated,C,7-9-0-1-0,7,9,0,1,0,0.00E+00,1.29E+05,2.07E+06,0.00E+00,7.61E+05,3.23E+06,0.00E+00,0.00E+00,4.02E+05,0.00E+00,4.55E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.57E+05,0.00E+00,0.00E+00,0.00E+00,1.77E+04,1.04E+05,3.91E+05
Sialylated,C,8-6-0-1-0,8,6,0,1,0,0.00E+00,4.56E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.34E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sialylated,C,7-7-0-1-0,7,7,0,1,0,6.48E+07,2.59E+04,0.00E+00,1.09E+07,0.00E+00,4.83E+04,1.80E+07,0.00E+00,0.00E+00,2.01E+05,0.00E+00,0.00E+00,7.98E+04,5.65E+04,0.00E+00,1.23E+04,0.00E+00,0.00E+00,6.03E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sialylated,C,7-7-0-2-0,7,7,0,2,0,1.59E+07,0.00E+00,0.00E+00,1.18E+06,0.00E+00,0.00E+00,3.73E+06,0.00E+00,0.00E+00,1.56E+04,0.00E+00,0.00E+00,1.67E+04,0.00E+00,0.00E+00,1.46E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sialofucosylated,C,4-5-1-2-0,4,5,1,2,0,0.00E+00,1.37E+05,9.45E+05,0.00E+00,8.79E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.11E+05,0.00E+00,3.70E+05,2.25E+05,0.00E+00,1.20E+05,0.00E+00,5.04E+05,5.37E+04,3.13E+05,5.90E+05,4.11E+05
Sialofucosylated,H,4-6-1-1-0,4,6,1,1,0,1.51E+07,0.00E+00,0.00E+00,1.44E+06,0.00E+00,0.00E+00,1.08E+06,0.00E+00,0.00E+00,1.10E+05,0.00E+00,0.00E+00,9.22E+04,0.00E+00,0.00E+00,3.77E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sialofucosylated,H,4-6-1-2-0,4,6,1,2,0,1.72E+07,0.00E+00,0.00E+00,1.18E+06,0.00E+00,0.00E+00,5.96E+06,0.00E+00,0.00E+00,6.47E+05,0.00E+00,0.00E+00,7.41E+05,0.00E+00,0.00E+00,2.10E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sialofucosylated,H,4-7-1-1-0,4,7,1,1,0,1.39E+06,0.00E+00,0.00E+00,1.56E+04,0.00E+00,0.00E+00,7.75E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.24E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sialofucosylated,C,5-5-1-1-0,5,5,1,1,0,1.30E+06,0.00E+00,0.00E+00,1.58E+04,0.00E+00,0.00E+00,1.15E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.93E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sialofucosylated,C,5-6-1-2-0,5,6,1,2,0,0.00E+00,7.00E+04,5.17E+05,0.00E+00,5.66E+04,6.04E+05,0.00E+00,1.59E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.25E+05,0.00E+00,0.00E+00,3.65E+05,1.60E+05,0.00E+00,0.00E+00,7.50E+04,0.00E+00,1.75E+05
Sialofucosylated,C,5-6-1-3-0,5,6,1,3,0,1.18E+06,0.00E+00,0.00E+00,1.03E+05,0.00E+00,0.00E+00,1.67E+05,0.00E+00,0.00E+00,3.53E+03,0.00E+00,0.00E+00,8.90E+04,0.00E+00,0.00E+00,4.58E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sialofucosylated,C,5-6-2-1-0,5,6,2,1,0,4.46E+07,0.00E+00,0.00E+00,1.14E+07,0.00E+00,0.00E+00,1.05E+07,0.00E+00,0.00E+00,6.39E+05,0.00E+00,0.00E+00,1.12E+05,0.00E+00,0.00E+00,3.83E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sialofucosylated,C,8-6-1-1-0,8,6,1,1,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.22E+04,2.33E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.42E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.94E+06,2.24E+04,2.44E+05,1.15E+06,1.09E+05
Sialofucosylated,C,5-6-2-3-0,5,6,2,3,0,1.80E+07,0.00E+00,0.00E+00,1.27E+06,0.00E+00,0.00E+00,7.01E+05,0.00E+00,0.00E+00,4.87E+03,0.00E+00,0.00E+00,1.97E+03,0.00E+00,0.00E+00,4.96E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sialofucosylated,H,5-7-1-2-0,5,7,1,2,0,6.21E+07,2.49E+05,0.00E+00,8.53E+06,0.00E+00,8.57E+04,7.99E+05,0.00E+00,0.00E+00,1.06E+05,0.00E+00,4.32E+04,1.99E+04,4.10E+06,1.50E+05,7.94E+03,6.35E+04,0.00E+00,0.00E+00,1.04E+05,4.80E+04,0.00E+00,0.00E+00
Sialofucosylated,H,5-8-2-1-0,5,8,2,1,0,2.70E+07,1.97E+04,0.00E+00,1.51E+06,0.00E+00,0.00E+00,4.38E+05,0.00E+00,0.00E+00,1.84E+04,2.52E+04,1.61E+04,1.49E+04,8.13E+04,0.00E+00,3.05E+03,3.22E+04,0.00E+00,1.86E+06,6.99E+05,2.84E+05,7.00E+05,2.72E+04
Sialofucosylated,C,6-4-1-1-0,6,4,1,1,0,4.14E+06,0.00E+00,0.00E+00,2.61E+05,0.00E+00,0.00E+00,6.00E+05,0.00E+00,0.00E+00,6.55E+04,0.00E+00,0.00E+00,5.08E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
